# world.txt -- gods, beasts, sidekicks and the background tables
#
# One record per line: a tag, then '|' separated fields. A '#' at the
# start of a line is a comment, and blank lines are ignored. The comment
# above each block names the columns.
#
# A field that needs a literal '|' or '\' writes it as '\|' or '\\'.
# A line ending in '\' continues on the next line.
#
# tools/build_data.py turns this file into C. Run `make data` after an
# edit; it checks every cross-reference and refuses to write on an error.

# DEITY | name | title | pantheon | alignment | domains | symbol
DEITY|Auril|goddess of winter|Forgotten Realms|NE|Nature, Tempest|Six-pointed snowflake
DEITY|Azuth|god of wizards|Forgotten Realms|LN|Knowledge|
DEITY|Bane|god of tyranny|Forgotten Realms|LE|War|
DEITY|Beshaba|goddess of misfortune|Forgotten Realms|CE|Trickery|Black antlers
DEITY|Bhaal|god of murder|Forgotten Realms|NE|Death|Skull surrounded by a ring of blood droplets
DEITY|Chauntea|goddess of agriculture|Forgotten Realms|NG|Life|Sheaf of grain or a blooming rose over grain
DEITY|Cyric|god of lies|Forgotten Realms|CE|Trickery|White jawless skull on black or purple sunburst
DEITY|Deneir|god of writing|Forgotten Realms|NG|Knowledge|Lit candle above an open eye
DEITY|Eldath|goddess of peace|Forgotten Realms|NG|Life, Nature|Waterfall plunging into still pool
DEITY|Gond|god of craft|Forgotten Realms|N|Knowledge|Toothed cog with four spokes
DEITY|Helm|god of protection|Forgotten Realms|LN|Life, Light|Staring eye on upright left gauntlet
DEITY|Ilmater|god of endurance|Forgotten Realms|LG|Life|Hands bound at the wrist with red cord
DEITY|Kelemvor|god of the dead|Forgotten Realms|LN|Death|Upright skeletal arm holding balanced scales
DEITY|Lathander|god of birth and renewal|Forgotten Realms|NG|Life, Light|Road traveling into a sunrise
DEITY|Leira|goddess of illusion|Forgotten Realms|CN|Trickery|Point-down triangle containing a swirl of mist
DEITY|Lliira|goddess of joy|Forgotten Realms|CG|Life|Triangle of three six-pointed stars
DEITY|Loviatar|goddess of pain|Forgotten Realms|LE|Death|Nine-tailed barbed scourge
DEITY|Malar|god of the hunt|Forgotten Realms|CE|Nature|Clawed paw
DEITY|Mask|god of thieves|Forgotten Realms|CN|Trickery|Black mask
DEITY|Mielikki|goddess of forests|Forgotten Realms|NG|Nature|Unicorn's head
DEITY|Milil|god of poetry and song|Forgotten Realms|NG|Light|Five-stringed harp made of leaves
DEITY|Myrkul|god of death|Forgotten Realms|NE|Death|White human skull
DEITY|Mystra|goddess of magic|Forgotten Realms|NG|Knowledge|Circle of seven stars, or nine stars encircling a
DEITY|Oghma|god of knowledge|Forgotten Realms|N|Knowledge|Blank scroll
DEITY|Savras|god of divination and fate|Forgotten Realms|LN|Knowledge|Crystal ball containing many kinds of eyes
DEITY|Selune|goddess of the moon|Forgotten Realms|CG|Knowledge, Life|Pair of eyes surrounded by seven stars
DEITY|Shar|goddess of darkness and loss|Forgotten Realms|NE|Death, Trickery|Black disk encircled with a border
DEITY|Silvanus|god of wild nature|Forgotten Realms|N|Nature|Oak leaf
DEITY|Sune|goddess of love and beauty|Forgotten Realms|CG|Life, Light|Face of a beautiful red-haired woman
DEITY|Talona|goddess of disease and poison|Forgotten Realms|CE|Death|Three teardrops on a triangle
DEITY|Talos|god of storms|Forgotten Realms|CE|Tempest|Three lightning bolts radiating from a central point
DEITY|Tempus|god of war|Forgotten Realms|N|War|Upright flaming sword
DEITY|Torm|god of courage and self-sacrifice|Forgotten Realms|LG|War|White right gauntlet
DEITY|Tymora|goddess of good fortune|Forgotten Realms|CG|Trickery|Face-up coin
DEITY|Tyr|god of justice|Forgotten Realms|LG|War|Balanced scales resting on a warhammer
