# equipment.txt -- gear, weapons, armour, magic items and prices
#
# One record per line: a tag, then '|' separated fields. A '#' at the
# start of a line is a comment, and blank lines are ignored. The comment
# above each block names the columns.
#
# A field that needs a literal '|' or '\' writes it as '\|' or '\\'.
# A line ending in '\' continues on the next line.
#
# tools/build_data.py turns this file into C. Run `make data` after an
# edit; it checks every cross-reference and refuses to write on an error.

# ITEM | name | book | category | cost_cp | weight_tenths | base_ac | dex_cap | str_req | stealth_disadvantage | damage | damage_type | properties | contents
ITEM|Padded armor|PHB|light-armour|500|80|11|-1|0|1||||
ITEM|Leather armor|PHB|light-armour|1000|100|11|-1|0|0||||
ITEM|Studded leather armor|PHB|light-armour|4500|130|12|-1|0|0||||
ITEM|Hide armor|PHB|medium-armour|1000|120|12|2|0|0||||
ITEM|Chain shirt|PHB|medium-armour|5000|200|13|2|0|0||||
ITEM|Scale mail|PHB|medium-armour|5000|450|14|2|0|1||||
ITEM|Breastplate|PHB|medium-armour|40000|200|14|2|0|0||||
ITEM|Half plate|PHB|medium-armour|75000|400|15|2|0|1||||
ITEM|Spiked Armor|SCAG|medium-armour|7500|450|14|2|0|1||||
ITEM|Ring mail|PHB|heavy-armour|3000|400|14|0|0|1||||
ITEM|Chain mail|PHB|heavy-armour|7500|550|16|0|13|1||||
ITEM|Splint armor|PHB|heavy-armour|20000|600|17|0|15|1||||
ITEM|Plate armor|PHB|heavy-armour|150000|650|18|0|15|1||||
ITEM|Shield|PHB|shield|1000|60|2|0|0|0||||
ITEM|Club|PHB|simple-melee|10|20|0|0|0|0|1d4|bludgeoning|Light|
ITEM|Dagger|PHB|simple-melee|200|10|0|0|0|0|1d4|piercing|Finesse, light, thrown (range 20/60)|
ITEM|Greatclub|PHB|simple-melee|20|100|0|0|0|0|1d8|bludgeoning|Two-handed|
ITEM|Handaxe|PHB|simple-melee|500|20|0|0|0|0|1d6|slashing|Light, thrown (range 20/60)|
ITEM|Javelin|PHB|simple-melee|50|20|0|0|0|0|1d6|piercing|Thrown (range 30/120)|
ITEM|Light hammer|PHB|simple-melee|200|20|0|0|0|0|1d4|bludgeoning|Light, thrown (range 20/60)|
ITEM|Mace|PHB|simple-melee|500|40|0|0|0|0|1d6|bludgeoning||
ITEM|Quarterstaff|PHB|simple-melee|20|40|0|0|0|0|1d6|bludgeoning|Versatile (1d8)|
ITEM|Sickle|PHB|simple-melee|100|20|0|0|0|0|1d4|slashing|Light|
ITEM|Spear|PHB|simple-melee|100|30|0|0|0|0|1d6|piercing|Thrown (range 20/60), versatile (1d8)|
ITEM|Light crossbow|PHB|simple-ranged|2500|50|0|0|0|0|1d8|piercing|Ammunition (range 80/320), loading, two-handed|
ITEM|Dart|PHB|simple-ranged|5|2|0|0|0|0|1d4|piercing|Finesse, thrown (range 20/60)|
ITEM|Shortbow|PHB|simple-ranged|2500|20|0|0|0|0|1d6|piercing|Ammunition (range 80/320), two-handed|
ITEM|Sling|PHB|simple-ranged|10|0|0|0|0|0|1d4|bludgeoning|Ammunition (range 30/120)|
ITEM|Battleaxe|PHB|martial-melee|1000|40|0|0|0|0|1d8|slashing|Versatile (1d10)|
ITEM|Flail|PHB|martial-melee|1000|20|0|0|0|0|1d8|bludgeoning||
ITEM|Glaive|PHB|martial-melee|2000|60|0|0|0|0|1d10|slashing|Heavy, reach, two-handed|
ITEM|Greataxe|PHB|martial-melee|3000|70|0|0|0|0|1d12|slashing|Heavy, two-handed|
ITEM|Greatsword|PHB|martial-melee|5000|60|0|0|0|0|2d6|slashing|Heavy, two-handed|
ITEM|Halberd|PHB|martial-melee|2000|60|0|0|0|0|1d10|slashing|Heavy, reach, two-handed|
ITEM|Lance|PHB|martial-melee|1000|60|0|0|0|0|1d12|piercing|Reach, special|
ITEM|Longsword|PHB|martial-melee|1500|30|0|0|0|0|1d8|slashing|Versatile (1d10)|
ITEM|Maul|PHB|martial-melee|1000|100|0|0|0|0|2d6|bludgeoning|Heavy, two-handed|
ITEM|Morningstar|PHB|martial-melee|1500|40|0|0|0|0|1d8|piercing||
ITEM|Pike|PHB|martial-melee|500|180|0|0|0|0|1d10|piercing|Heavy, reach, two-handed|
ITEM|Rapier|PHB|martial-melee|2500|20|0|0|0|0|1d8|piercing|Finesse|
ITEM|Scimitar|PHB|martial-melee|2500|30|0|0|0|0|1d6|slashing|Finesse, light|
ITEM|Shortsword|PHB|martial-melee|1000|20|0|0|0|0|1d6|piercing|Finesse, light|
ITEM|Trident|PHB|martial-melee|500|40|0|0|0|0|1d6|piercing|Thrown (range 20/60), versatile (1d8)|
ITEM|War pick|PHB|martial-melee|500|20|0|0|0|0|1d8|piercing||
ITEM|Warhammer|PHB|martial-melee|1500|20|0|0|0|0|1d8|bludgeoning|Versatile (1d10)|
ITEM|Whip|PHB|martial-melee|200|30|0|0|0|0|1d4|slashing|Finesse, reach|
ITEM|Blowgun|PHB|martial-ranged|1000|10|0|0|0|0|1|piercing|Ammunition (range 25/100), loading|
ITEM|Hand crossbow|PHB|martial-ranged|7500|30|0|0|0|0|1d6|piercing|Ammunition (range 30/120), light, loading|
ITEM|Heavy crossbow|PHB|martial-ranged|5000|180|0|0|0|0|1d10|piercing|Ammunition (range 100/400), heavy, loading, two-handed|
ITEM|Longbow|PHB|martial-ranged|5000|20|0|0|0|0|1d8|piercing|Ammunition (range 150/600), heavy, two-handed|
ITEM|Net|PHB|martial-ranged|100|30|0|0|0|0|-|-|Special, thrown (range 5/15)|
ITEM|Burglar's pack|PHB|pack|1600|470|0|0|0|0||||Backpack, bag of 1000 ball bearings, 10 feet of string, bell, 5 candles, crowbar, hammer, 10 pitons, hooded lantern, 2 flasks of oil, 5 days rations, tinderbox, waterskin, 50 feet of hempen rope
ITEM|Diplomat's pack|PHB|pack|3900|360|0|0|0|0||||Chest, 2 cases for maps and scrolls, fine clothes, bottle of ink, ink pen, lamp, 2 flasks of oil, 5 sheets of paper, vial of perfume, sealing wax, soap
ITEM|Dungeoneer's pack|PHB|pack|1200|610|0|0|0|0||||Backpack, crowbar, hammer, 10 pitons, 10 torches, tinderbox, 10 days rations, waterskin, 50 feet of hempen rope
ITEM|Entertainer's pack|PHB|pack|4000|380|0|0|0|0||||Backpack, bedroll, 2 costumes, 5 candles, 5 days rations, waterskin, disguise kit
ITEM|Explorer's pack|PHB|pack|1000|590|0|0|0|0||||Backpack, bedroll, mess kit, tinderbox, 10 torches, 10 days rations, waterskin, 50 feet of hempen rope
ITEM|Priest's pack|PHB|pack|1900|240|0|0|0|0||||Backpack, blanket, 10 candles, tinderbox, alms box, 2 blocks of incense, censer, vestments, 2 days rations, waterskin
ITEM|Scholar's pack|PHB|pack|4000|100|0|0|0|0||||Backpack, book of lore, bottle of ink, ink pen, 10 sheets of parchment, little bag of sand, small knife
ITEM|Abacus|PHB|gear|200|20|0|0|0|0||||
ITEM|Acid (vial)|PHB|gear|2500|10|0|0|0|0||||
ITEM|Alchemist's fire (flask)|PHB|gear|5000|10|0|0|0|0||||
